root,model_size,experiment,model,logic,lambda_dos,lambda_scan,run_count,mean_seconds,mean_minutes,source_run
/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k,186k,ex1,Random Forest,--,--,--,1,15.886351,0.264773,/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k/ex1/2026-05-26_105907_run1
/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k,186k,ex1,Baseline MLP,--,--,--,1,4.290984,0.071516,/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k/ex1/2026-05-26_110010_run1
/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k,186k,ex1,Gödel,goedel,10,10,1,75.915946,1.265266,/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k/ex1/2026-05-26_110351_run1
/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k,186k,ex1,Łukasiewicz,lukasiewicz,1,1,1,98.142682,1.635711,/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k/ex1/2026-05-26_110538_run1
/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k,186k,ex1,Reichenbach,reichenbach,1,5,1,90.254255,1.504238,/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k/ex1/2026-05-26_111553_run1
/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k,186k,ex1,Yager,yager,5,1,1,131.553074,2.192551,/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k/ex1/2026-05-26_113047_run1
/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k,186k,ex1,DL2,dl2,1,10,1,57.405661,0.956761,/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k/ex1/2026-05-26_114022_run1
/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k,186k,ex2,Random Forest,--,--,--,1,14.683124,0.244719,/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k/ex2/2026-05-26_114117_run1
/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k,186k,ex2,Baseline MLP,--,--,--,1,4.298130,0.071635,/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k/ex2/2026-05-26_114204_run1
/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k,186k,ex2,Gödel,goedel,1,10,1,95.261148,1.587686,/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k/ex2/2026-05-26_114541_run1
/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k,186k,ex2,Łukasiewicz,lukasiewicz,1,5,1,76.759860,1.279331,/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k/ex2/2026-05-26_115038_run1
/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k,186k,ex2,Reichenbach,reichenbach,10,10,1,73.883850,1.231397,/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k/ex2/2026-05-26_115111_run1
/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k,186k,ex2,Yager,yager,10,5,1,93.491143,1.558186,/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k/ex2/2026-05-26_115601_run1
/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k,186k,ex2,DL2,dl2,1,1,1,55.664500,0.927742,/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k/ex2/2026-05-26_115703_run1
/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k,186k,ex3,Random Forest,--,--,--,1,15.415545,0.256926,/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k/ex3/2026-05-26_115846_run1
/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k,186k,ex3,Baseline MLP,--,--,--,1,4.164345,0.069406,/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k/ex3/2026-05-26_115932_run1
/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k,186k,ex3,Gödel,goedel,5,10,1,71.667787,1.194463,/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k/ex3/2026-05-26_120251_run1
/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k,186k,ex3,Łukasiewicz,lukasiewicz,10,1,1,77.827682,1.297128,/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k/ex3/2026-05-26_120225_run1
/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k,186k,ex3,Reichenbach,reichenbach,1,1,1,92.149637,1.535827,/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k/ex3/2026-05-26_120249_run1
/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k,186k,ex3,Yager,yager,5,10,1,96.413253,1.606888,/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k/ex3/2026-05-26_120301_run1
/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k,186k,ex3,DL2,dl2,1,1,1,55.277029,0.921284,/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k/ex3/2026-05-26_121533_run1
/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k,186k,ex4,Random Forest,--,--,--,1,16.231324,0.270522,/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k/ex4/2026-05-26_121600_run1
/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k,186k,ex4,Baseline MLP,--,--,--,1,4.129849,0.068831,/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k/ex4/2026-05-26_121708_run1
/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k,186k,ex4,Gödel,goedel,10,1,1,71.590279,1.193171,/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k/ex4/2026-05-26_122034_run1
/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k,186k,ex4,Łukasiewicz,lukasiewicz,1,1,1,76.792736,1.279879,/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k/ex4/2026-05-26_122502_run1
/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k,186k,ex4,Reichenbach,reichenbach,1,1,1,73.563749,1.226062,/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k/ex4/2026-05-26_122536_run1
/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k,186k,ex4,Yager,yager,5,10,1,90.950625,1.515844,/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k/ex4/2026-05-26_123210_run1
/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k,186k,ex4,DL2,dl2,10,1,1,56.163700,0.936062,/Users/rasmusherskind/ITU/Property-based-Neural-Network-Verification/outputs/time_compare_186k/ex4/2026-05-26_123434_run1
